,location,size,total_sqft,price
2370,Malleshwaram,2,1420.0,158.0
2371,Electronics City Phase 1,3,2040.0,137.0
2372,Sarjapur  Road,3,1220.0,56.0
2373,8th Phase JP Nagar,4,1200.0,145.0
2374,other,2,1300.0,79.0
2375,Electronics City Phase 1,2,1150.0,39.0
2376,KR Puram,2,1470.0,86.0
2377,Hosa Road,2,1063.0,31.9
2378,other,2,1311.0,48.0
2380,Nagarbhavi,4,600.0,100.0
2381,other,3,1400.0,55.0
2382,Kanakpura Road,2,2200.0,62.0
2384,Vidyaranyapura,2,1060.0,55.0
2385,other,3,1000.0,110.0
2386,Sector 7 HSR Layout,3,1760.0,145.0
2387,Whitefield,3,2010.0,92.0
2388,Kanakpura Road,3,1480.0,64.23
2389,8th Phase JP Nagar,3,1230.0,43.5
2390,Gottigere,3,1300.0,65.0
2391,other,4,800.0,120.0
2393,Singasandra,2,1100.0,52.0
2394,Harlur,3,1752.12,116.0
2395,Marathahalli,2,957.0,46.9
2396,Balagere,1,790.5,41.9
2397,other,3,1942.0,102.0
2398,other,2,1000.0,53.0
2399,Yeshwanthpur,1,668.0,36.85
2401,Nagarbhavi,3,600.0,80.0
2402,Uttarahalli,2,1089.0,43.55
2403,Thanisandra,3,1800.0,90.0
2404,Yelahanka New Town,1,960.0,18.0
2405,Yelahanka,2,1036.0,39.35
2406,Marathahalli,3,1583.0,105.0
2407,7th Phase JP Nagar,4,3300.0,150.0
2408,Padmanabhanagar,2,1100.0,65.0
2409,Thyagaraja Nagar,1,800.0,100.0
2410,Vittasandra,2,1246.0,65.0
2411,Dodda Nekkundi,2,850.0,28.0
2412,Raja Rajeshwari Nagar,2,1196.0,51.51
2413,Thanisandra,3,1697.0,114.0
2414,TC Palaya,2,1000.0,64.0
2415,HRBR Layout,3,1567.0,90.0
2418,other,2,950.0,45.0
2419,other,2,1022.0,52.0
2420,Kammasandra,2,1018.0,23.45
2421,other,4,2000.0,25.0
2422,Bharathi Nagar,2,1322.0,68.0
2423,other,4,1800.0,145.0
2424,Doddakallasandra,3,1460.0,58.39
2425,other,2,990.0,44.55
2427,Whitefield,3,1635.0,85.0
2432,other,3,1533.0,85.0
2433,Akshaya Nagar,3,1720.0,134.0
2435,Yeshwanthpur,2,1185.0,75.84
2436,Varthur Road,2,900.0,27.0
2437,Attibele,1,395.0,10.25
2438,Electronic City Phase II,2,1031.0,56.35
2443,Hennur,2,1259.0,57.0
2444,Raja Rajeshwari Nagar,3,1570.0,88.0
2446,Whitefield,2,1216.0,79.0
2447,Sarjapur  Road,3,1428.0,66.0
2448,Begur Road,2,1160.0,40.59
2449,other,3,600.0,110.0
2450,other,3,1475.0,70.0
2451,Harlur,3,1754.0,135.0
2452,Rayasandra,3,1639.0,83.0
2453,Hennur Road,3,1804.0,102.0
2454,Whitefield,3,1200.0,56.2
2455,other,2,1135.0,55.0
2456,Begur Road,2,1260.0,46.62
2458,Hennur Road,3,2160.0,160.0
2460,Rachenahalli,2,1220.0,59.5
2461,Margondanahalli,2,1200.0,67.0
2462,Yelahanka,2,1300.0,65.0
2463,Cox Town,1,605.0,29.0
2465,Bhoganhalli,2,1444.0,75.97
2466,Amruthahalli,2,924.0,45.0
2467,Kaikondrahalli,2,1000.0,30.0
2468,Vishveshwarya Layout,4,600.0,95.0
2470,Bisuvanahalli,2,845.0,29.0
2471,Kanakpura Road,2,700.0,35.0
2472,Kothanur,2,1187.0,58.0
2473,Kaggadasapura,3,1625.0,55.0
2474,Devarachikkanahalli,2,1200.0,83.0
2475,other,2,1452.55,110.0
2476,other,3,2357.0,151.0
2477,Kaval Byrasandra,2,1200.0,49.5
2478,Budigere,2,1139.0,56.85
2479,Basavangudi,1,600.0,97.5
2480,Kanakpura Road,3,1660.0,75.0
2481,other,2,1170.0,105.0
2482,Somasundara Palya,2,1448.0,68.0
2483,Kadugodi,3,1762.0,110.0
2484,Kaggadasapura,2,1105.0,38.65
2485,Yelahanka,3,1825.0,105.0
2486,Bhoganhalli,1,296.0,22.89
2488,Thanisandra,2,1185.0,43.0
2489,Electronic City Phase II,3,1320.0,38.12
2490,Hulimavu,2,1058.0,48.0
2491,Bellandur,2,1220.0,60.0
2492,Sarjapur,2,925.0,25.0
2493,Old Madras Road,2,1200.0,72.0
2494,Kengeri,3,1160.0,40.6
2495,Kengeri Satellite Town,3,600.0,72.0
2496,other,3,1411.0,91.72
2497,Bannerghatta Road,3,1550.0,78.0
2499,Haralur Road,3,2475.0,130.0
2501,7th Phase JP Nagar,4,2503.0,188.0
2503,Kaggadasapura,2,1063.0,42.0
2504,Kanakpura Road,2,1077.0,37.7
2505,other,2,1200.0,44.0
2506,Hosakerehalli,4,1500.0,70.0
2507,Jalahalli,2,1045.0,76.77
2508,Kanakapura,3,1290.0,45.15
2509,Hoodi,2,1400.0,78.0
2510,Begur Road,3,1600.0,58.14
2512,Nagavara,3,1545.0,58.0
2513,Sarjapur  Road,3,1680.0,112.0
2514,other,2,1350.0,67.5
2515,Gottigere,2,950.0,38.0
2516,Thanisandra,2,1050.0,45.0
2517,Banashankari Stage V,3,1305.0,49.0
2518,Hosakerehalli,4,800.0,120.0
2520,other,3,1100.0,78.0
2522,Begur Road,3,1634.0,83.33
2523,Prithvi Layout,2,1352.0,85.0
2524,Balagere,2,1145.0,65.0
2525,other,2,1240.0,43.79
2527,Bommasandra Industrial Area,2,1020.0,39.0
2529,Raja Rajeshwari Nagar,2,1168.0,61.0
2530,Electronic City Phase II,2,1205.0,75.0
2531,Yeshwanthpur,2,1195.0,100.0
2532,CV Raman Nagar,2,1028.0,49.0
2533,other,2,1175.0,48.27
2534,Pai Layout,3,1550.0,90.0
2535,Yeshwanthpur,3,1826.0,165.0
2537,Yelahanka,3,1603.0,96.0
2538,Marathahalli,3,1350.0,72.0
2539,KR Puram,1,714.0,28.0
2540,Whitefield,2,1215.0,65.0
2541,Malleshpalya,3,1405.0,77.0
2542,KR Puram,2,1142.0,51.0
2543,other,4,4000.0,170.0
2544,Whitefield,3,1870.0,90.0
2545,Subramanyapura,2,1313.0,73.0
2546,other,3,1945.0,120.0
2547,Thanisandra,3,1573.0,95.0
2548,Sarjapur  Road,2,1255.0,92.0
2549,Benson Town,4,1400.0,91.15
2550,Kannamangala,2,1235.0,43.63
2551,Sarjapur  Road,3,1380.0,52.0
2554,other,3,1465.0,74.72
2555,Thigalarapalya,2,1418.0,103.0
2556,other,3,1650.0,165.0
2557,Anekal,1,351.0,16.0
2558,Uttarahalli,2,1279.0,48.0
2562,other,3,1550.0,150.0
2564,Uttarahalli,3,1845.0,68.27
2565,other,3,1360.0,59.27
2566,other,3,1150.0,75.0
2567,Whitefield,2,1260.0,49.5
2568,other,3,1200.0,74.0
2569,Dasanapura,2,965.0,42.5
2570,Hoodi,3,1350.0,48.0
2571,Bhoganhalli,2,1447.0,75.97
2572,other,3,1229.0,86.03
2573,Kudlu,2,1027.0,43.0
2574,Gottigere,2,1153.0,48.5
2576,Malleshpalya,2,1065.0,50.0
2577,other,2,1030.0,61.0
2578,Mallasandra,2,1340.0,61.0
2580,other,1,600.0,32.0
2581,Begur Road,3,1410.0,44.42
2582,Varthur,2,1055.0,45.35
2583,Yelahanka,2,1304.0,79.0
2585,Kammasandra,2,990.0,31.5
2586,7th Phase JP Nagar,2,1035.0,39.33
2587,Tumkur Road,1,700.0,30.09
2588,Sonnenahalli,2,1120.0,43.0
2589,Haralur Road,2,1300.0,73.0
2590,Tumkur Road,2,1239.0,82.0
2592,Hosa Road,2,1365.0,92.0
2593,other,2,1165.0,135.0
2594,Subramanyapura,3,1130.0,45.19
2595,Green Glen Layout,3,1776.42,105.0
2596,Vidyaranyapura,4,900.0,175.0
2598,other,2,1107.0,33.0
2599,Nagavara,3,2319.0,180.0
2600,other,3,1520.0,80.0
2601,Kannamangala,3,1536.0,89.0
2603,other,2,1050.0,38.0
2604,Hoodi,3,1850.0,146.0
2605,Billekahalli,2,1112.0,62.0
2606,Marathahalli,3,1535.0,72.5
2607,Kanakpura Road,2,1050.0,35.0
2609,7th Phase JP Nagar,3,1250.0,65.0
2610,Kalena Agrahara,2,1187.0,52.0
2611,9th Phase JP Nagar,2,1164.0,56.0
2612,Electronic City Phase II,3,1395.0,62.78
2613,Arekere,3,2072.0,108.0
2614,Kanakpura Road,3,1450.0,60.91
2615,Bannerghatta Road,3,1550.0,82.0
2616,other,2,1315.0,90.0
2618,other,2,1210.0,72.0
2619,Bisuvanahalli,3,1075.0,47.0
2621,other,3,1215.0,42.2
2622,Kaggadasapura,3,1470.0,75.0
2624,Hosur Road,3,1590.0,125.0
2625,Kanakpura Road,2,1050.0,36.75
2626,Raja Rajeshwari Nagar,2,1306.0,55.91
2628,other,3,1445.0,64.0
2629,Sarjapur  Road,3,1220.0,58.0
2630,Sarjapur,4,3190.0,160.0
2631,Ramagondanahalli,2,1215.0,51.26
2632,Budigere,3,1920.0,88.0
2633,Dodda Nekkundi,2,1390.0,60.0
2634,Battarahalli,3,800.0,75.0
2635,Nagarbhavi,3,600.0,100.0
2636,Hoodi,2,1196.0,71.74
2637,Bannerghatta Road,3,1550.0,75.0
2638,Thigalarapalya,2,1418.0,101.0
2639,Varthur Road,3,1655.0,115.0
2640,KR Puram,2,1115.0,33.45
2641,other,2,1170.0,68.0
2642,Anekal,2,1035.0,38.3
2643,Singasandra,3,1306.0,58.0
2644,Kengeri,2,750.0,22.0
2645,Thanisandra,3,1917.0,122.0
2646,Kaggadasapura,3,1615.0,58.0
2647,Marathahalli,2,1071.0,52.25
2648,Koramangala,2,1325.0,119.0
2650,5th Phase JP Nagar,3,1400.0,88.0
2651,Tumkur Road,2,1246.0,82.0
2652,Sarjapur,2,1215.0,40.0
2653,Munnekollal,2,1200.0,49.5
2654,other,4,450.0,53.0
2655,Kodigehaali,2,1200.0,60.0
2656,Kaval Byrasandra,2,945.0,50.0
2658,Hormavu,2,1175.0,52.0
2659,Whitefield,2,920.0,63.0
2661,other,2,1600.0,110.0
2662,Sanjay nagar,4,750.0,110.0
2664,other,2,955.0,34.01
2666,Uttarahalli,3,1425.0,64.0
2668,Whitefield,2,1165.0,40.5
2669,Kaggadasapura,2,1050.0,48.0
2670,other,3,1370.0,75.0
2671,Electronic City,3,1374.0,72.0
2672,Harlur,3,1754.0,124.0
2673,Kothanur,3,1847.0,110.0
2674,Ambedkar Nagar,3,1850.0,139.0
2675,Chikka Tirupathi,3,3297.0,135.0
2676,other,2,1187.0,45.0
2677,Bommasandra Industrial Area,3,1400.0,40.44
2678,other,3,600.0,30.0
2679,Chamrajpet,2,1350.0,180.0
2680,Doddaballapur,3,3000.0,120.0
2681,Thanisandra,1,693.0,34.3
2683,KR Puram,2,1021.0,48.0
2684,Thigalarapalya,2,1165.0,95.0
2685,Horamavu Agara,3,1756.0,92.0
2686,Bharathi Nagar,3,1739.0,105.0
2687,Varthur,2,1280.0,65.0
2688,Marathahalli,2,1215.0,58.86
2689,Munnekollal,2,950.0,46.5
2690,Kengeri,3,1082.0,49.0
2692,Devanahalli,2,1080.0,53.35
2693,Arekere,2,1100.0,55.0
2695,Sarjapur  Road,2,1311.0,78.0
2696,Raja Rajeshwari Nagar,3,1608.0,67.98
2697,Begur Road,2,1160.0,36.0
2698,Whitefield,2,1170.0,71.0
2699,Kengeri,2,1155.0,40.6
2701,Rayasandra,2,1065.0,44.95
2702,Neeladri Nagar,1,674.0,21.0
2703,Ambedkar Nagar,3,1936.0,126.0
2705,other,2,1100.0,38.45
2706,Ramagondanahalli,3,2257.0,157.0
2707,Nagarbhavi,2,1055.0,55.0
2708,Raja Rajeshwari Nagar,3,1530.0,51.87
2709,other,3,1700.0,97.0
2710,Raja Rajeshwari Nagar,3,1575.0,78.0
2712,Rajiv Nagar,2,1263.0,93.32
2713,KR Puram,3,1559.0,69.315
2714,Kengeri Satellite Town,2,1043.0,65.0
2715,Hennur,2,1255.0,53.5
2716,JP Nagar,2,1352.5,93.865
2717,Chandapura,1,590.0,13.57
2718,Yelahanka,3,1550.0,120.0
2720,other,3,1900.0,160.0
2721,other,3,1360.0,55.0
2722,other,2,1100.0,75.0
2723,8th Phase JP Nagar,3,1455.0,73.31
2724,KR Puram,2,1035.0,40.5
2725,Harlur,2,1152.0,69.0
2726,Bellandur,2,1299.0,82.0
2728,Rachenahalli,2,1050.0,52.5
2729,Pai Layout,2,1050.0,40.0
2730,Vittasandra,2,1246.0,67.4
2731,other,3,1929.0,115.0
2732,Hennur,2,1285.0,60.0
2733,Margondanahalli,3,1200.0,65.0
2735,BTM 2nd Stage,3,1850.0,170.0
2736,Sompura,3,1025.0,37.0
2737,Malleshwaram,2,1124.0,80.0
2738,Balagere,2,1012.0,54.59
2740,8th Phase JP Nagar,2,871.0,55.0
2741,other,2,1020.0,40.0
2742,Rachenahalli,3,1550.0,73.5
2744,Akshaya Nagar,3,1410.0,80.0
2746,Whitefield,2,1118.0,75.0
2747,Thanisandra,2,1098.0,68.0
2748,Kanakapura,2,1130.0,45.2
2749,Sarjapur  Road,2,1145.0,75.0
2750,Kadugodi,3,950.0,80.0
2751,other,2,1051.0,33.0
2753,Marathahalli,2,1102.0,53.67
2754,Jalahalli,2,1478.0,125.0
2756,Hebbal,2,823.0,50.63
2757,Abbigere,2,880.0,35.0
2759,Budigere,3,1991.0,100.0
2760,TC Palaya,3,1100.0,50.0
2761,Gubbalala,3,1745.0,115.0
2762,HAL 2nd Stage,2,1226.0,135.0
2763,Begur Road,3,680.0,68.0
2764,other,2,1100.0,70.0
2766,5th Phase JP Nagar,2,1450.0,58.0
2767,Singasandra,4,3366.0,120.0
2768,Sahakara Nagar,2,1150.0,54.0
2771,Bommanahalli,2,1090.0,44.0
2772,Kaggadasapura,2,1132.0,42.0
2773,Hulimavu,2,1375.0,80.0
2775,Thanisandra,1,760.0,50.3
2776,Kaggadasapura,2,1180.0,65.0
2777,Jigani,2,918.0,45.0
2779,Margondanahalli,2,1200.0,53.0
2782,Ardendale,3,1728.0,95.0
2784,BTM 2nd Stage,2,1200.0,80.0
2785,6th Phase JP Nagar,2,1280.0,56.0
2786,Hulimavu,4,800.0,110.0
2787,other,3,1455.0,56.0
2788,Rachenahalli,1,440.0,28.0
2789,Kanakpura Road,3,1500.0,97.0
2790,Whitefield,3,1800.0,110.0
2791,Mysore Road,3,1525.0,96.0
2792,Rachenahalli,2,1204.0,38.5
2793,Old Madras Road,2,1225.0,53.55
2795,Bannerghatta Road,3,1650.0,122.0
2796,Electronic City,3,880.0,18.0
2798,other,2,1200.0,55.0
2800,9th Phase JP Nagar,2,1005.0,42.0
2801,Whitefield,3,1562.0,103.0
2804,Ramamurthy Nagar,2,1200.0,42.0
2805,Kasavanhalli,3,1555.0,82.5
2806,KR Puram,2,1550.0,71.0
2807,Whitefield,2,1190.0,67.0
2808,Chikkalasandra,2,1070.0,50.0
2810,Jalahalli East,2,1020.0,42.48
2811,Yelahanka,3,1610.0,115.0
2812,other,1,700.0,41.0
2813,other,3,1300.0,49.0
2814,Hebbal,2,1420.0,123.0
2816,Hebbal,3,1069.0,65.4
2817,Marathahalli,3,1900.0,123.0
2818,Old Airport Road,2,1655.0,97.65
2819,Uttarahalli,2,1155.0,40.42
2820,Sarjapur  Road,3,1300.0,70.0
2821,Electronic City,2,1100.0,45.0
2822,Doddathoguru,2,1030.0,42.0
2823,Vittasandra,2,2105.0,70.2
2824,Bhoganhalli,3,1700.0,126.0
2825,Jakkur,3,1760.0,139.0
2827,other,2,1400.0,67.0
2828,other,2,1200.0,53.0
2829,Bannerghatta Road,2,912.0,55.0
2830,Whitefield,2,1102.0,48.0
2831,other,3,1535.0,55.0
2833,Jigani,2,918.0,63.2
2834,Begur Road,3,1500.0,70.0
2836,Kasavanhalli,3,1476.0,89.0
2837,Mysore Road,2,1200.0,65.0
2838,Vijayanagar,1,606.0,34.78
2839,other,2,1100.0,61.0
2840,Garudachar Palya,3,1295.0,59.5
2841,Neeladri Nagar,1,527.0,26.0
2842,OMBR Layout,2,1300.0,80.0
2843,Bommanahalli,3,680.0,68.0
2844,other,1,1260.0,41.0
2845,Koramangala,2,1140.0,75.2
2846,other,1,1500.0,37.5
2847,Whitefield,3,2321.0,128.0
2848,Sarjapur  Road,2,1390.0,62.0
2849,Sarjapur  Road,3,1725.0,90.0
2851,Hennur Road,3,1186.0,63.0
2852,Kanakpura Road,2,1230.0,85.0
2853,other,1,600.0,17.0
2854,Yeshwanthpur,3,1313.0,96.0
2856,Ambalipura,2,1250.0,66.25
2858,Binny Pete,1,660.0,54.0
2859,Basavangudi,2,1036.0,105.0
2861,Old Madras Road,2,1100.0,70.0
2865,Electronics City Phase 1,2,1015.0,56.0
2866,Gottigere,1,812.0,26.0
2867,other,3,1360.0,65.0
2868,Nehru Nagar,3,2167.0,170.0
2869,Raja Rajeshwari Nagar,2,1200.0,35.0
2870,other,2,1165.0,75.0
2871,BTM 2nd Stage,2,1274.0,70.0
2872,Raja Rajeshwari Nagar,2,1151.0,39.02
2874,Thubarahalli,3,1626.0,120.0
2875,Banashankari Stage V,2,1035.0,35.77
2876,other,3,1272.0,75.0
2877,other,2,965.0,45.0
2879,Kothannur,2,1070.0,42.79
2880,Raja Rajeshwari Nagar,3,1570.0,65.0
2882,other,2,780.0,25.0
2883,other,3,1000.0,65.0
2884,9th Phase JP Nagar,4,1200.0,188.0
2886,5th Phase JP Nagar,3,1700.0,100.0
2887,Haralur Road,3,1850.0,110.0
2888,Kereguddadahalli,2,904.0,30.0
2889,other,2,1121.0,43.72
2890,7th Phase JP Nagar,3,1385.0,58.17
2891,Sahakara Nagar,2,1270.0,69.85
2892,Kanakpura Road,3,1450.0,56.0
2894,Mahadevpura,1,730.0,35.0
2895,Raja Rajeshwari Nagar,3,1580.0,53.56
2896,Thanisandra,2,1111.0,50.0
2897,Kengeri,4,1125.0,88.0
2898,Varthur,2,977.0,36.0
2899,other,2,674.0,19.9
2900,Nagarbhavi,3,600.0,83.0
2901,Sarjapur,4,2540.0,115.0
2902,Jakkur,2,1290.0,100.0
2903,Kumaraswami Layout,3,600.0,98.0
2904,Abbigere,2,795.0,32.54
2905,Kanakpura Road,2,700.0,35.0
2906,other,2,1463.0,142.0
2907,Vijayanagar,3,1000.0,140.0
2908,other,3,1306.0,58.0
2909,other,3,2401.0,185.0
2910,Bommenahalli,4,1670.0,135.0
2912,other,3,1200.0,90.0
2913,Dodda Nekkundi,3,1804.0,121.0
2915,Hoskote,3,1225.0,40.0
2916,Thanisandra,2,1185.5,58.68
2917,Bellandur,2,900.0,56.0
2918,Binny Pete,2,1350.0,91.0
2919,Kaggalipura,1,700.0,36.0
2920,Mysore Road,2,1005.0,35.175
2921,other,2,1160.0,46.39
2922,Hennur Road,3,1680.0,99.27
2923,LB Shastri Nagar,2,1043.0,55.0
2924,Hoskote,4,1200.0,120.0
2925,Hebbal,2,1040.0,46.0
2926,Tindlu,3,1357.0,65.0
2928,other,2,1225.0,47.0
2930,Yelachenahalli,2,1130.0,40.0
2931,Basavangudi,4,2500.0,150.0
2932,Sultan Palaya,3,1700.0,120.0
2933,Doddathoguru,3,1549.0,65.0
2934,Yeshwanthpur,2,1400.0,100.0
2935,Dodda Nekkundi,2,1080.0,50.0
2936,Ulsoor,2,1180.0,100.0
2938,Domlur,3,1800.0,150.0
2940,other,1,890.0,75.0
2941,Abbigere,2,1005.0,39.59
2942,Whitefield,2,1320.0,95.0
2943,Anandapura,4,1475.0,50.0
2945,other,2,1110.0,51.0
2946,other,2,1300.0,54.0
2948,Electronic City,2,1128.0,65.35
2949,Jakkur,2,1452.19,100.0
2951,Banashankari,3,2600.0,135.0
2953,Sanjay nagar,2,630.0,35.0
2954,Hosa Road,2,1243.0,48.5
2955,other,2,960.0,32.0
2956,other,3,1690.0,100.0
2957,Whitefield,2,735.0,35.0
2958,Banaswadi,2,1365.0,73.0
2960,Hebbal,2,1420.0,99.39
2961,Somasundara Palya,3,1570.0,68.0
2962,Bisuvanahalli,2,850.0,32.0
2963,7th Phase JP Nagar,3,1575.0,110.0
2964,Thigalarapalya,2,1418.0,104.0
2965,Uttarahalli,2,1050.0,42.0
2967,Ulsoor,3,1340.0,90.0
2968,Yelahanka New Town,3,1610.0,92.0
2969,Electronic City Phase II,2,1160.0,33.5
2970,Kudlu,2,1092.0,44.0
2972,Yelahanka,3,1455.0,61.5
2973,Abbigere,1,734.0,19.82
2974,other,2,799.0,38.0
2975,Whitefield,3,1896.0,75.0
2976,Ardendale,2,1100.0,48.0
2977,Bellandur,2,1350.0,79.0
2978,other,3,1355.0,61.0
2980,other,2,1350.0,90.0
2982,Kasavanhalli,3,1493.0,82.0
2983,8th Phase JP Nagar,2,1098.0,43.91
2984,Banashankari,3,1900.0,170.0
2985,other,3,1460.0,88.0
2988,Varthur,2,1091.0,32.0
2989,Yelahanka,2,1180.0,42.0
2990,Kanakpura Road,2,1366.0,76.85
2991,other,3,1685.0,95.0
2992,Koramangala,2,1260.0,100.0
2994,Ramamurthy Nagar,3,1330.0,140.0
2995,Mallasandra,2,1200.0,130.0
2996,Whitefield,2,1346.0,96.17
2997,Chandapura,1,630.0,13.86
2999,7th Phase JP Nagar,3,1850.0,140.0
3001,Electronic City,2,755.0,34.0
3003,other,2,1194.0,46.0
3006,other,1,800.0,52.0
3008,Vijayanagar,2,1352.0,68.0
3009,Thanisandra,3,2002.0,112.0
3011,Kaval Byrasandra,2,1060.0,45.0
3012,Kanakpura Road,3,1419.59,59.0
3013,Raja Rajeshwari Nagar,2,1196.0,51.15
3014,Electronic City,3,1220.0,35.24
3015,Electronics City Phase 1,3,1595.0,75.0
3016,Banashankari,2,1260.0,75.0
3017,Hebbal,2,1100.0,47.0
3018,Frazer Town,2,1550.0,140.0
3019,ISRO Layout,2,1180.0,52.0
3021,Akshaya Nagar,3,1662.0,85.0
3023,Akshaya Nagar,4,1080.0,75.0
3024,Ambedkar Nagar,3,1862.0,119.0
3025,Raja Rajeshwari Nagar,2,1419.0,48.0
3026,Whitefield,3,1410.0,43.71
3027,Raja Rajeshwari Nagar,3,1560.0,62.4
3029,Thanisandra,3,1634.0,78.0
3031,Whitefield,3,1150.0,44.0
3032,other,2,1100.0,53.0
3033,Yelahanka,3,1616.0,65.0
3034,Nagavarapalya,2,1392.0,99.0
3035,Jakkur,3,1798.0,120.0
3036,Babusapalaya,3,1675.0,75.0
3037,other,2,792.0,70.0
3040,Hebbal,3,1700.0,124.0
3041,Hulimavu,2,1248.0,69.0
3042,other,2,1147.0,54.0
3043,Sultan Palaya,2,1100.0,40.0
3044,Vijayanagar,3,1527.0,115.0
3046,Kanakpura Road,1,525.0,25.0
3047,Kaggadasapura,2,1100.0,58.0
3048,Seegehalli,2,1118.0,37.5
3049,Kanakapura,3,1476.0,75.0
3050,other,3,2100.0,75.0
3051,other,3,1215.0,46.5
3052,Ambalipura,2,1332.0,79.0
3053,Hennur Road,2,1350.0,49.0
3054,Kothannur,4,600.0,81.0
3056,NGR Layout,2,1105.0,49.73
3058,Kasavanhalli,2,1200.0,50.0
3059,Ramagondanahalli,2,1251.0,47.4
3061,Pai Layout,3,1400.0,67.0
3063,Hegde Nagar,3,1703.0,113.0
3065,Varthur,3,1250.0,71.0
3066,Jigani,2,933.0,43.0
3067,other,1,461.82,31.7
3068,Brookefield,2,1262.0,75.0
3069,Yelahanka,2,915.0,48.0
3070,Panathur,3,1370.0,61.5
3071,Malleshpalya,2,1210.0,55.0
3073,other,3,1500.0,85.0
3074,other,2,1065.0,50.0
3076,Ramamurthy Nagar,3,1515.0,65.0
3077,Sarjapura - Attibele Road,4,1800.0,110.0
3078,Thanisandra,3,1445.0,40.31
3079,Uttarahalli,3,1300.0,55.0
3080,Vijayanagar,2,989.0,60.0
3081,Jakkur,2,1300.0,85.0
3082,Chandapura,3,1185.0,30.22
3084,Marathahalli,2,1045.0,60.0
3085,other,2,1205.0,42.18
3086,other,2,1260.0,75.0
3088,Ulsoor,3,1500.0,125.0
3089,Bommanahalli,3,1250.0,42.5
3090,other,2,1199.0,50.0
3093,Lakshminarayana Pura,2,1149.0,75.0
3094,Sarjapur  Road,3,2180.0,170.0
3098,Hulimavu,3,1818.0,135.0
3099,other,2,1070.0,33.0
3101,Nagarbhavi,3,1350.0,54.6
3102,Chandapura,2,630.0,27.0
3103,Hoodi,2,1430.0,113.0
3104,Nagavara,3,2430.0,180.0
3106,Sarjapur  Road,2,1084.0,55.0
3107,Hennur Road,3,1186.0,56.0
3108,Kengeri,2,1255.0,50.0
3110,Hosa Road,3,1541.0,69.84
3112,Raja Rajeshwari Nagar,2,1295.0,70.0
3115,7th Phase JP Nagar,3,1370.0,54.79
3116,Electronic City,2,1100.0,40.0
3118,Rajaji Nagar,2,1370.0,170.0
3120,JP Nagar,2,1200.0,62.0
3121,Gunjur,4,2000.0,95.0
3125,Sarjapur  Road,3,1220.0,62.0
3126,other,3,1950.0,130.0
3127,Somasundara Palya,2,1178.0,73.0
3128,Dasanapura,3,1286.0,61.44
3129,Begur Road,2,1160.0,42.0
3130,Jigani,2,918.0,55.0
3131,Electronic City,3,1563.0,91.84
3132,other,2,1326.0,62.17
3133,other,3,1350.0,140.0
3135,Begur Road,2,1240.0,39.06
3136,Kaggadasapura,2,1325.0,50.0
3137,Sonnenahalli,2,1100.0,44.0
3139,Gollarapalya Hosahalli,3,1605.0,50.0
3141,Somasundara Palya,2,1260.0,60.0
3142,Hoodi,3,1553.0,83.09
3143,Whitefield,2,1280.0,52.0
3144,Hebbal,3,1550.0,75.0
3145,Arekere,3,1445.0,125.0
3146,Murugeshpalya,3,1550.0,74.0
3147,Electronics City Phase 1,3,1515.0,80.91
3148,Hosa Road,3,1332.0,86.12
3149,Electronic City,3,1652.0,70.0
3150,Hegde Nagar,3,1570.0,105.0
3152,Sector 2 HSR Layout,1,794.0,60.0
3153,Seegehalli,3,1200.0,62.0
3155,Hosakerehalli,3,1200.0,175.0
3157,other,4,600.0,85.0
3159,Sarjapur  Road,3,1750.0,110.0
3160,Hebbal,2,1053.0,48.0
3162,Kadubeesanahalli,3,1665.0,70.0
3165,Bommasandra,3,1447.0,80.0
3166,Balagere,2,1012.0,75.0
3167,Malleshpalya,3,1900.0,60.0
3168,other,2,1308.0,92.66
3170,Hormavu,1,1351.0,53.0
3171,Electronic City,2,1000.0,22.0
3173,Gunjur,2,1140.0,49.11
3175,Uttarahalli,3,1250.0,55.0
3176,Kanakapura,3,1290.0,45.15
3178,Garudachar Palya,3,1320.0,60.6
3179,Akshaya Nagar,3,1662.0,85.5
3184,Battarahalli,3,1777.0,100.0
3185,Kadugodi,3,1900.0,108.0
3186,Anandapura,3,1576.0,59.1
3187,Sompura,2,1020.0,41.0
3188,other,3,2100.0,170.0
3189,Raja Rajeshwari Nagar,1,648.0,31.75
3190,Neeladri Nagar,3,1167.0,38.0
3192,Hoodi,2,1220.0,50.89
3194,Vittasandra,2,1259.0,67.4
3195,Gottigere,4,2000.0,82.0
3196,8th Phase JP Nagar,3,1800.0,80.0
3197,other,3,1991.0,160.0
3198,Bannerghatta,3,1665.0,110.0
3199,other,2,1234.0,61.0
3200,Mysore Road,3,1340.0,64.31
3201,Banashankari,2,1170.0,46.79
3202,Electronics City Phase 1,2,995.0,46.0
3203,Old Airport Road,2,1075.0,60.0
3204,Electronic City,2,1025.0,54.5
3205,Rachenahalli,3,2721.0,113.0
3206,Thanisandra,3,2000.0,99.0
3207,Whitefield,4,2500.0,155.0
3208,Mallasandra,2,1325.0,70.0
3209,Kadugodi,2,1314.0,68.2
3210,Kanakpura Road,3,2265.0,136.0
3212,Yelahanka,2,1026.0,41.0
3213,other,3,1200.0,66.0
3214,other,3,2220.0,65.0
3215,KR Puram,2,1192.5,51.22
3217,Sarjapur  Road,3,1888.0,95.0
